e,y,pathway,term,estimate,std.error,statistic,p.value
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_FYN,ppgs:bmi,0.010194728955809114,0.005929384015038361,1.7193571760494513,0.08556027106882307
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K,ppgs,0.00784902584800304,0.005737981786365384,1.3679070691116393,0.17135200975421758
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K,bmi,0.28834833233396084,0.005761639870568312,50.046226215370694,0
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_PI3K,ppgs:bmi,-0.0010987668366213906,0.005792714947916304,-0.18968080537376136,0.849560620886653
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS,ppgs,7.077168918068294e-4,0.005674651680460065,0.12471547711796332,0.9007496884052942
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS,bmi,0.2883952944341584,0.005761539963425014,50.05524499785271,0
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_RAS,ppgs:bmi,0.005571715834772289,0.005689205616558835,0.9793486490548726,0.32741609806897276
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K,ppgs,0.0019058864468049451,0.0058068597675512415,0.3282129280019895,0.742753097761984
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K,bmi,0.288393867135194,0.005761730656224566,50.05334062668023,0
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_PI3K,ppgs:bmi,0.002551267804837174,0.0057792467729469894,0.441453342463211,0.6588881992031154
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS,ppgs,7.077168918068294e-4,0.005674651680460065,0.12471547711796332,0.9007496884052942
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS,bmi,0.2883952944341584,0.005761539963425014,50.05524499785271,0
bmi,alt_log_adj,REACTOME_ACTIVATED_NTRK3_SIGNALS_THROUGH_RAS,ppgs:bmi,0.005571715834772289,0.005689205616558835,0.9793486490548726,0.32741609806897276
bmi,alt_log_adj,REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,ppgs,-0.004796687076215716,0.0057551466718408556,-0.8334604397982156,0.40459212236057696
bmi,alt_log_adj,REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,bmi,0.2885340108872151,0.005763051506058362,50.06618639168781,0
bmi,alt_log_adj,REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3,ppgs:bmi,-0.0037699527698849553,0.005819278290970824,-0.6478385430946658,0.5170946300756534
bmi,alt_log_adj,REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,ppgs,-5.226635697695963e-4,0.0059108051889826645,-0.08842510505062921,0.9295394331210765
bmi,alt_log_adj,REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,bmi,0.28836931433537616,0.005761736801160388,50.04902589047453,0
bmi,alt_log_adj,REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION,ppgs:bmi,-0.005302436140209419,0.005909643313296793,-0.8972514683380048,0.369592366715241
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,ppgs,0.002431171809379373,0.0057007483823193796,0.4264653772335481,0.6697720098165809
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,bmi,0.2884983130191336,0.005761729794480672,50.07147563488563,0
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS,ppgs:bmi,0.007979173405535351,0.005723084967628633,1.3942084471343312,0.16326559478416
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,ppgs,-0.001542332623457684,0.005815625883029367,-0.2652049245393139,0.7908535298023083
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,bmi,0.288359015957553,0.005762472236406926,50.04085124015338,0
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,ppgs:bmi,-0.0029598593758179215,0.0057583465587306565,-0.5140120250890873,0.6072475899380809
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS,ppgs,-0.006482167788064412,0.0058608136401982315,-1.106018410755194,0.2687279366729069
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS,bmi,0.28826898823708813,0.00576267842409019,50.023438238721425,0
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_APC_C_AND_APC_C_CDC20_MEDIATED_DEGRADATION_OF_MITOTIC_PROTEINS,ppgs:bmi,-0.005026848558785329,0.005888018638589482,-0.8537419575814298,0.39325519474987325
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,ppgs,-0.007886620399396247,0.006064142349753472,-1.3005335205755626,0.19342874758211703
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,bmi,0.2885449027036166,0.005764250660779417,50.057660515512836,0
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,ppgs:bmi,-0.002202730647218344,0.006074236232598461,-0.3626349985199787,0.7168802658703213
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA,ppgs,0.018414223361895715,0.005722220813071475,3.2180204091095965,0.0012922370994476375
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA,bmi,0.28889605443603894,0.005762223350084351,50.13621251453398,0
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA,ppgs:bmi,0.008922082246844161,0.005677019857123044,1.5716137113118405,0.11605132504871808
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,ppgs,0.024809343244321144,0.00572042811430244,4.336973168545173,1.4495665232250852e-5
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,bmi,0.288391074149399,0.005762640791210559,50.0449506742232,0
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,ppgs:bmi,-9.176240246087469e-4,0.005719917778014315,-0.16042608656645807,0.8725465847157989
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_C3_AND_C5,ppgs,-3.1479094917717285e-4,0.005778773673651611,-0.05447365945693046,0.9565581780001757
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_C3_AND_C5,bmi,0.28841020062305667,0.005762714653125568,50.0476282417748,0
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_C3_AND_C5,ppgs:bmi,5.012865769589772e-4,0.0058933560702781225,0.08505961136254919,0.932214600030398
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE,ppgs,5.6087580138822e-4,0.005929549152560389,0.0945899573403541,0.924641195488164
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE,bmi,0.28849442750809645,0.005761583037438298,50.0720766555794,0
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_CASPASES_THROUGH_APOPTOSOME_MEDIATED_CLEAVAGE,ppgs:bmi,-0.009433379581411144,0.005970258096880217,-1.5800622734116962,0.11410376293191848
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,ppgs,0.01002273331191103,0.005782336803778352,1.7333361324373007,0.08304681579220113
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,bmi,0.28846041370808956,0.005761358175007866,50.06812715782867,0
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,ppgs:bmi,-4.880395707816123e-5,0.005822618922738383,-0.008381787942118782,0.9933124380953078
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE,ppgs,0.0044922869775857275,0.005727733735269668,0.7843044361373802,0.4328680505924807
bmi,alt_log_adj,REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_IKBKE,bmi,0.288346051786537,0.005761731851997385,50.04503145813317,0
